ispb,compe,participates_in_compe,name
32062580,505,1,BCO CREDIT SUISSE S.A.
42066258,506,0,RJI
37229413,507,0,SCFI EFÍ S.A.
61384004,508,0,AVENUE SECURITIES DTVM LTDA.
13935893,509,0,CELCOIN IP S.A.
39738065,510,0,FFCRED SCD S.A.
44683140,511,1,MAGNUM SCD
36266751,512,0,FINVEST DTVM
44728700,513,0,ATF CREDIT SCD S.A.
36583700,516,0,QISTA S.A. CFI
37679449,518,0,MERCADO CRÉDITO SCFI S.A.
40768766,519,0,LIONS TRUST DTVM
44019481,521,0,PEAK SEP S.A.
47593544,522,0,RED SCD S.A.
44292580,523,0,HR DIGITAL SCD
45854066,524,0,WNT CAPITAL DTVM
34265629,525,0,INTERCAM CC LTDA
46026562,526,0,MONETARIE SCD
44478623,527,0,ATICCA SCD S.A.
34829992,528,0,REAG DTVM S.A.
17079937,529,0,PINBANK IP
47873449,530,0,SER FINANCE SCD S.A.
45745537,532,0,EAGLE SCD S.A.
00714671,534,0,EWALLY IP S.A.
39519944,535,0,MARU SCD S.A.
20855875,536,0,NEON PAGAMENTOS S.A. IP
45756448,537,0,MICROCASH SCMEPP LTDA.
00122327,539,0,SANTINVEST S.A. - CFI
00954288,541,0,FDO GARANTIDOR CRÉDITOS
17352220,545,0,SENSO CCVM S.A.
30980539,546,0,U4C INSTITUIÇÃO DE PAGAMENTO S.A.
59118133,600,1,BCO LUSO BRASILEIRO S.A.
31895683,604,1,BCO INDUSTRIAL DO BRASIL S.A.
78626983,610,1,BCO VR S.A.
61820817,611,1,BCO PAULISTA S.A.
31880826,612,1,BCO GUANABARA S.A.
60850229,613,1,OMNI BANCO S.A.
59285411,623,1,BANCO PAN
61348538,626,0,BCO C6 CONSIG
58497702,630,0,BCO LETSBANK S.A.
68900810,633,1,BCO RENDIMENTO S.A.
17351180,634,1,BCO TRIANGULO S.A.
60889128,637,1,BCO SOFISA S.A.
62144175,643,1,BCO PINE S.A.
61024352,653,0,BANCO VOITER
92874270,654,1,BCO DIGIMAIS S.A.
59588111,655,1,BCO VOTORANTIM S.A.
62232889,707,1,BCO DAYCOVAL S.A
78632767,712,0,BCO OURINVEST S.A.
80271455,720,0,BCO RNX S.A.
00558456,739,1,BCO CETELEM S.A.
00517645,741,1,BCO RIBEIRAO PRETO S.A.
00795423,743,1,BANCO SEMEAR
33479023,745,1,BCO CITIBANK S.A.
30723886,746,1,BCO MODAL S.A.
01023570,747,0,BCO RABOBANK INTL BRASIL S.A.
01181521,748,1,BCO COOPERATIVO SICREDI S.A.
29030467,751,0,SCOTIABANK BRASIL
01522368,752,1,BCO BNP PARIBAS BRASIL S A
74828799,753,1,NOVO BCO CONTINENTAL S.A. - BM
76543115,754,0,BANCO SISTEMA
62073200,755,1,BOFA MERRILL LYNCH BM S.A.
02038232,756,1,BANCO SICOOB S.A.
02318507,757,1,BCO KEB HANA DO BRASIL S.A.
