CODIGO;CATEGORIA;DESCRICAO;DIMENSAO;UNIDADE;MATERIAL;TIPO
RU1465;RU_SISGAS;TE DE REDUCAO CENTRAL 32X25MM - SISGAS;1;PC;SISGAS;-
RU1466;RU_SISGAS;TE DE REDUCAO CENTRAL 40X25MM - SISGAS;1;PC;SISGAS;-
RU1467;RU_SISGAS;TE DE REDUCAO CENTRAL 40X32MM - SISGAS;1;PC;SISGAS;-
RU1468;RU_SISGAS;TE DE REDUCAO CENTRAL 50X32MM - SISGAS;1;PC;SISGAS;-
RU1469;RU_SISGAS;TE DE REDUCAO CENTRAL 50X40MM - SISGAS;1;PC;SISGAS;-
RU1470;RU_SISGAS;TE DE REDUCAO CENTRAL 63X40MM - SISGAS;1;PC;SISGAS;-
RU1471;RU_SISGAS;TE DE REDUCAO CENTRAL 63X50MM - SISGAS;1;PC;SISGAS;-
RU1472;RU_SISGAS;TE DE REDUCAO CENTRAL 75X50MM - SISGAS;1;PC;SISGAS;-
RU1473;RU_SISGAS;TE DE REDUCAO CENTRAL 75X63MM - SISGAS;1;PC;SISGAS;-
RU1474;RU_SISGAS;TE DE REDUCAO CENTRAL 90X63MM - SISGAS;1;PC;SISGAS;-
RU1475;RU_SISGAS;TE DE REDUCAO CENTRAL 90X75MM - SISGAS;1;PC;SISGAS;-
RU1476;RU_SISGAS;TE DE REDUCAO CENTRAL 110X75MM - SISGAS;1;PC;SISGAS;-
RU1477;RU_SISGAS;TE DE REDUCAO CENTRAL 110X90MM - SISGAS;1;PC;SISGAS;-
RU1478;RU_SISGAS;LUVA 20MM  - SISGAS;1;PC;SISGAS;-
RU1479;RU_SISGAS;LUVA 25MM  - SISGAS;1;PC;SISGAS;-
RU1480;RU_SISGAS;LUVA 32MM  - SISGAS;1;PC;SISGAS;-
RU1481;RU_SISGAS;LUVA 40MM  - SISGAS;1;PC;SISGAS;-
RU1482;RU_SISGAS;LUVA 50MM  - SISGAS;1;PC;SISGAS;-
RU1483;RU_SISGAS;LUVA 63MM  - SISGAS;1;PC;SISGAS;-
RU1484;RU_SISGAS;LUVA 75MM  - SISGAS;1;PC;SISGAS;-
RU1485;RU_SISGAS;LUVA 90MM  - SISGAS;1;PC;SISGAS;-
RU1486;RU_SISGAS;LUVA 110MM  - SISGAS;1;PC;SISGAS;-
RU1487;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 25X20;1;PC;SISGAS;-
RU1488;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 32X20;1;PC;SISGAS;-
RU1489;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 32X25;1;PC;SISGAS;-
RU1490;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 40X25;1;PC;SISGAS;-
RU1491;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 40X32;1;PC;SISGAS;-
RU1492;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 50X32;1;PC;SISGAS;-
RU1493;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 50X40;1;PC;SISGAS;-
RU1494;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 63X40;1;PC;SISGAS;-
RU1495;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 63X50;1;PC;SISGAS;-
RU1496;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 75X50;1;PC;SISGAS;-
RU1497;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 75X63;1;PC;SISGAS;-
RU1498;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 90X63;1;PC;SISGAS;-
RU1499;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 90X75;1;PC;SISGAS;-
RU1500;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 110X75;1;PC;SISGAS;-
RU1501;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 110X90;1;PC;SISGAS;-
RU1502;RU_ESGOTO;JUNCAO INVERTIDA PVC SERIE NORMAL 75X50;1;PC;PVC;-
RU1503;RU_ESGOTO;JUNCAO INVERTIDA PVC SERIE NORMAL 100X50;1;PC;PVC;-
RU1504;RU_ESGOTO;JUNCAO INVERTIDA PVC SERIE NORMAL 75X75;1;PC;PVC;-
RU1505;RU_ESGOTO;JUNCAO INVERTIDA PVC SERIE NORMAL 100X75;1;PC;PVC;-
RU1506;RU_ESGOTO;JUNCAO INVERTIDA PVC SERIE NORMAL 100X100;1;PC;PVC;-
RU1507;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 40MM;1;MT;PVC;TUBO
RU1508;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 50MM;1;MT;PVC;TUBO
RU1509;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 75MM;1;MT;PVC;TUBO
RU1510;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 100MM;1;MT;PVC;TUBO
RU1511;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 150MM;1;MT;PVC;TUBO
RU1512;RU_ESGOTO_REFOCADO;CAP PVC SERIE REFOCADA 40MM;1;PC;PVC;-
RU1513;RU_ESGOTO_REFOCADO;CAP PVC SERIE REFOCADA 50MM;1;PC;PVC;-
RU1514;RU_ESGOTO_REFOCADO;CAP PVC SERIE REFOCADA 75MM;1;PC;PVC;-
RU1515;RU_ESGOTO_REFOCADO;CAP PVC SERIE REFOCADA 100MM;1;PC;PVC;-
RU1516;RU_ESGOTO_REFOCADO;CAP PVC SERIE REFOCADA 150MM;1;PC;PVC;-
RU1517;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 40MM;1;PC;PVC;-
RU1518;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 50MM;1;PC;PVC;-
RU1519;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 75MM;1;PC;PVC;-
RU1520;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 100MM;1;PC;PVC;-
RU1521;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 150MM;1;PC;PVC;-
RU1522;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 40MM;1;PC;PVC;-
RU1523;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 50MM;1;PC;PVC;-
RU1524;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 75MM;1;PC;PVC;-
RU1525;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 100MM;1;PC;PVC;-
RU1526;RU_ESGOTO_REFOCADO;JOELHO 90 PVC SERIE REFOCADA 150MM;1;PC;PVC;-
RU1527;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 40X40;1;PC;PVC;-
RU1528;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 50X50;1;PC;PVC;-
RU1529;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 75X50;1;PC;PVC;-
RU1530;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 75X75;1;PC;PVC;-
RU1531;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 100X50;1;PC;PVC;-
RU1532;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 100X75;1;PC;PVC;-
RU1533;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 100X100;1;PC;PVC;-
RU1534;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 150X100;1;PC;PVC;-
RU1535;RU_ESGOTO_REFOCADO;JUNCAO SIMPLES PVC SERIE REFOCADA 150X150;1;PC;PVC;-
RU1536;RU_ESGOTO_REFOCADO;LUVA SIMPLES PVC SERIE REFOCADA 40MM;1;PC;PVC;-
RU1537;RU_ESGOTO_REFOCADO;LUVA SIMPLES PVC SERIE REFOCADA 50MM;1;PC;PVC;-
RU1538;RU_ESGOTO_REFOCADO;LUVA SIMPLES PVC SERIE REFOCADA 75MM;1;PC;PVC;-
RU1539;RU_ESGOTO_REFOCADO;LUVA SIMPLES PVC SERIE REFOCADA 100MM;1;PC;PVC;-
