DATE,QUANTITY,NAME,CODECONTENT,CODETYPE
2025-06-05 15:10:02 -0300,1,"","35250574534496000110590014744860045921128004|20250526|131020|217.80||R4x0LlUXAlP/KxKKsFDHg2PBAvMiRMK3x4ZgwNfrQHgM/5SXDaCZh6e/MtJAp7VdbRRfxh7fdwHDVkTpi4GJBLKoC9HJ61+NNwwehxUrj1sHO0GhHrFVe/xKWjrP7VbRe+LiUm47Yn4bp7zpuM8M54qKUToyEvt3AYtkIT43qSZncX7WOy9aGds+M9fVVlZJfzH+BVbCX0o2TU2goybGYXmbDhRwyLg/64OQZUYzfBjCEGaKRpXFQvvKb8uWFm+zxIF48HZPHB40ViowFY/eM7tGygI7rmBk+ruxxXaQ53wmUlqXB82CkmlVFKooIbFBn2N18WOVCqhnkhV9s52qTw==",15
2025-06-05 15:07:44 -0300,1,"","35250509456704000148590006761872488559437199|20250522062140|20.40||QqBcD83c66cW/eoOuqkF7Us3hCqMNxpuTS1APkX0jSkRTTZf4XEQYDiysjg/+qrR4cxMQssXA26hwiHmX3DomfEQfXASIbniytojpqyyix+vlZZnUdVNhuQ3pKMLrpPzCVJ3/4Ib+UXk6jlzwBa95wn+SrWZ+ZKZ/4tKu4EF5n1D4R6XtOYoZzy1iKAKOeLSXjvMeCWTE/eRuHIGd5ckuufZw9lY4IrKewR5jZmmqeyczAICOQ3woT2zNdfHPsP+M8VWz6FCvcJTL1WaZF9dCGln+0Itz7yiek/MicUBjNUo/IEYr6O8jLPdf/6f/wUbtxCPLKELUlmFTqSSON5osw==",15
2025-06-05 15:07:37 -0300,1,"","35250551517078000380590011554181728252746562|20250523105521|25.98||pp3YxTbWeT/uq8ONtz1XJrm1IjQQERj91xqEt3EFzWAdhTqjZASV0rzH6bf1bSnaBqjRDwHXkXiACuNPU75B5fgQ0sf1Z2IPCJy8QfPJkA225Ze4j2nGiOZI5zEnLXIR6WlJovTcgr5K4x6tVLz9gXd2jmWcZFipbjXiF8TDiHO3Hpk/s4UH1qDnGWemjMDUITAbK5LcfOJMfMfFcj17lhaM9xgOdjhR3dKcElKQ/SnzOU77YjWlSdbyQrcOAdGZd9FTdSz0dhrY9EYFMKQ55Xk84MzxSKgrtD2YgjfNLEFVKV++eoDXCJReuSOzPAxSJyOneZqMfXNr5sRQ0Gqx1w==",15
2025-06-05 15:07:30 -0300,1,"","35250551517078000461590013175091556180288657|20250513053415|14.98||k5R1+xPJc8imPoUKESk2wFhG2E+uHFcUKaHoUHWptyfXw2BfOh0QLVzaqqK/oD/ZJJNLzUMkLNM0YCibhOysfpy46uH9CUdwvyMYkV0hqumlP6fRHqOrEb4IrdHSKdnNQWsVpmv0RHiOSMkp+HV+a37+gPw6TmhzWdURjz2IBuEKOMx6kxDIcA66REOCCbxGcccBnO/u2tH43sIfAxV3Pgie9cyJBoyfVCvR1sJ+9H4LDkZqdoXZw82LPlFlh51lGsdE2mhOEn/wHQNi2FDRc2A1uapLz/uB8b/1mwvWiJO9LxxMxIYr+FH6tN0aBISFZOzCHrNLVJKe5CNHv+jO2Q==",15
2025-06-05 15:07:21 -0300,1,"","CFe35250523476033000299590003090344176609350086|20250527073352|379.01||hGYZePNOjUWo9S+5D2rabIBKsMdevxcUYOYbeyaKmW7CWQqEKTEyYS8wz/SdG3PJXNAfo+gTwxl7g1+VsFdnzvr7fHy+ag1L5m9uqK9/v88FTQIrzsdRvIcLKqgmn9dpGyvExn7cbyZ1PHqOhUNslitOsSm6BYXEl/YWk2smECPNJuXVPLFyaLmHpHprxiHzo0X0u3F2iPI1hnW0Ih3PcoAVvGaIWpNYIQ5ZRwJMvU8XucwI1R402yLqXJbikLRu7dXdD5StTYrnlM8YFpckKPzSb+pvLSQw13tisrvCvC7vlyMATUQTHYsTc6oeFcCX/Xvm8rD9cd+IJbdOv9QzSQ==",15
2025-06-05 15:07:14 -0300,1,"","35250559276790000509590008712153979367657683|20250525182929|49.68||C7q9xsqAWNsfpKn0KRKL/lcfwP06HV8zbJgry3KjkgH/PznFUGRYPMwtb4IhKrcabuPmCCQD2+bWErkQmLDWz4XZ3DGDn/QsBClEIEQA1OZJFAUHKRKut1nnFMmz8CtzLTRVpeRqf3z+yIEZ2o9Ybj4QWr6rMAFSHQg4mi2Lj0qhyll1p/3vOqB9RTtQ6xu6Up1WOW62Cs3y+7ZczxYs9yfKZaKzc8xiiTwNQJBssieux9Xsqkn2IrVpRfVyYXM+jUkl1E9yvFv8Ep/ckEem6UGWIwYsxC5m6aoAJ63KozUY4RGHiZIj3aRxtLkrfdE1uajioTvb74BMLUEMA63WvA==",15
2025-06-05 15:07:10 -0300,1,"","35250507030674000188590012945241658769010818|20250526062534|214.01||MoDSGxwzxZ5mZEJUAs9FYU1sJ5pIU40R51nKr3WYXGhVCFGd4WK08O7WBMPL21Ss6BHu5bSJA2Cge1+C7JUtYu7HSq4H6I04/+zrdSTBjWmWX7xzKE9z+0WFM5oravUB97rXVur5c/59lJtvK1M0kSjN/t9xittG4be8Hr/tMuacEsO2gyk2XpxouxRWySUi3oFwDcHs2xYSQW1rafarVDFUACtowKdE+fFQG08oUyXgDob4mtahPHBc7QTTxNTcw/i7mvtBtJtWWl39svIZQH2zew6D6ebMZrMge9vI6w/EsLzykAzQQqsnDgT+R04D5dzuwtvJ3x00NV9tJO1zsw==",15
2025-06-05 15:07:05 -0300,1,"","35250511235792000108590008343770883333996492|20250531103447|35.08||RVz5avDbcNEuoyf4Zve5y3Fxtw6Q6Mt4Oeqf6mzuFnRgLhobqHkRv3ZAhJBOYUH9M6TTSZLJ9pqy8CwHWFbzwPfbiZ8P6HRaSb66cHE/xNvKO9ZbrSEkNFFh2/OGXEC6Bumwq8vXBQ8Ztxhmm4dUxDEiiMPHAD2L9p0IKrw2ybw3DepPabvNMkvfQqVnkGkvvNkS8MG2AuCYtAKVtr3hdLB8LCDkdilRGuHP3+xBaM+8Zh9EpZxWFZ1ePivNLR8Y5ed0MfbCnRojTI0Sgdayp6JRoW95xb8MTYdhKZNCjzR1DQ7fP2QngjFxelTnoz/UIOfiUFC13qCub5v/lmmVcw==",15
2025-06-05 15:07:00 -0300,1,"","35250543979128000151590004623203458475641859|20250530113827|172.13||fF/U2gEUL6T3jCD/PsWuY9lzxArqH9+UbM9IfibqLVJZmFAwTORQ3HUAAwNtYzORCMKTvCS+PmVC3RjHzK6yS8P/jyHip6lzmEYD0vplDjgq7PXV5IVluRAqgvXSl8EVl2/DWVFXqhnCyB8f5a6mzPkbI1zfy1XRqdMZxiCNsah8gYFiiXDRCeinOQuELrzp+DyFCk5jY7aymZ7aFhbAXBOWgK38ceeLIx/0QflhCUY4U55ez5Y7Hl/bISdokg8uJxiQfubOIjOjuA/mnWqiBxUp64s1WaUc2LptgpgQBb+T4rHQ48JzdZMuriw4GXUSFMxIDKzYsLTtA2yGvGqM+g==",15
2025-06-05 15:06:39 -0300,1,"","35250551517078000461590012956511767512569390|20250526075227|37.87||pUXSCkWcb3xvKKrmVEvJZDw7A5ZvHuRM56C7F3Y/Lp1RF1Bz0fFl2w23szJborb0UEUQc1uplJsW6pRwRaAxgOyBcBjxBhmR1CHL63t6P+Ivh2Vifgue/VkOlqNC8MndI94/HQJFBQHIrwgiM+nt2EVTA9eD996aFxMvRwiT9SLgBMFsLe37gZUi6SUZR+BSGH+Zi+DbJpUh/Wp+AqJLuUDogbouYYvtvqYSNAb+qb9dFrx3q8ukevqmhB8tgeRnINfHJGZNP+Aw/EpMXTjGcS5nrgcsrLu3NtISLNVS1PH9nlS470tZnO+W/5DJ2bYDHWLELjaGCuoiebVzSE5RcA==",15
2025-06-05 15:06:33 -0300,1,"","35250502914460038980590007517610910679906621|20250524111207|237.15||OCEiTb0eiWVK4CSUc6ldeNHCEonm2+uHshea8ZuKVKmeKbvsCjsKUjbk5fPMmV9Xu5/NypNtRkk0uJ5BdlgutWbsqzqcVbQYm1nEnalfCmeugWRbyas0/1yGjzDqNPVx12c/Nlud2kTsAPMtWvbAs65Lli1LVrDZYnWBL7egmLsRdJcQ4DH+K/FSAMOpXGo3WapNo7zenBapUNj2DtoP0f+7z65UKq/a1k0k1eCMYAPQQMfL2e6WH/aq+jBFB37ranKDTW6gdXnlK+8oB8oyRGqRpwboTYmRomHDBJVZ5WELHP2WSish6puqx537c5QXz+4tE8BIrR7VoIoZ6S+LHQ==",15
