;;APTO_AGUA_FRIA-QUENTE-GAS-PT1;;
RU1482;RU_SISGAS;LUVA 50MM  - SISGAS;PC;2
RU1492;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 50X32;PC;14
RU1495;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 63X50;PC;1
RU1497;RU_SISGAS;LUVA DE REDUCAO FEMEA-FEMEA 75X63;PC;1
;;SUBSOLO_ENTERRADAS;;
RU1097;RU_SOLDAVEL;TUBO PVC SOLDAVEL 20MM;MT;6,69
RU1098;RU_SOLDAVEL;TUBO PVC SOLDAVEL 25MM;MT;7,63
RU1102;RU_SOLDAVEL;TUBO PVC SOLDAVEL 60MM;MT;7,29
RU1105;RU_SOLDAVEL;BUCHA DE REDUCAO PVC SOLDAVEL LONGA 40X25MM;PC;1
RU1107;RU_SOLDAVEL;BUCHA DE REDUCAO PVC SOLDAVEL LONGA 50X25MM;PC;1
RU1121;RU_SOLDAVEL;CURVA 45 PVC SOLDAVEL 60MM;PC;2
RU1122;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 20MM;PC;7
RU1123;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 25MM;PC;14
RU1127;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 60MM;PC;4
RU1128;RU_SOLDAVEL;JOELHO 45 PVC SOLDAVEL 20MM;PC;2
RU1129;RU_SOLDAVEL;JOELHO 45 PVC SOLDAVEL 25MM;PC;5
RU1162;RU_CPVC;TUBO CPVC 73MM;MT;2,61
RU1163;RU_CPVC;TUBO CPVC 89MM;MT;34,02
RU1184;RU_CPVC;JOELHO 45 CPVC 89MM;PC;2
RU1193;RU_CPVC;JOELHO 90 CPVC 89MM;PC;5
RU1227;RU_CPVC;TE CPVC 89MM;PC;1
RU1258;RU_REGISTRO;"REGISTRO GAVETA BRUTO 100 (4"")";PC;7
RU1351;RU_INCENDIO;KIT INCENDIO (ABRIGO, MANGUEIRA, CHAVE STORS, TAMP�O STORS, ADAPTADOR E BICO JATO);PC;3
RU1352;RU_INCENDIO;VALVULA PARA HIDRANTE 45 50MM;PC;3
RU1393;RU_ESGOTO;TUBO PVC SERIE NORMAL 40MM;MT;5,02
RU1394;RU_ESGOTO;TUBO PVC SERIE NORMAL 50MM;MT;28,17
RU1395;RU_ESGOTO;TUBO PVC SERIE NORMAL 75MM;MT;2,31
RU1396;RU_ESGOTO;TUBO PVC SERIE NORMAL 100MM;MT;206,17
RU1404;RU_ESGOTO;JOELHO 45 PVC SERIE NORMAL 40MM;PC;5
RU1405;RU_ESGOTO;JOELHO 45 PVC SERIE NORMAL 50MM;PC;5
RU1407;RU_ESGOTO;JOELHO 45 PVC SERIE NORMAL 100MM;PC;23
RU1408;RU_ESGOTO;JOELHO 90 PVC SERIE NORMAL 40MM;PC;4
RU1409;RU_ESGOTO;JOELHO 90 PVC SERIE NORMAL 50MM;PC;13
RU1411;RU_ESGOTO;JOELHO 90 PVC SERIE NORMAL 100MM;PC;12
RU1414;RU_ESGOTO;JUNCAO SIMPLES PVC SERIE NORMAL 40;PC;1
RU1418;RU_ESGOTO;JUNCAO SIMPLES PVC SERIE NORMAL 100X50;PC;2
RU1420;RU_ESGOTO;JUNCAO SIMPLES PVC SERIE NORMAL 100X100;PC;2
RU1431;RU_ESGOTO;TE PVC SERIE NORMAL 50X50;PC;6
RU1434;RU_ESGOTO;TE PVC SERIE NORMAL 100X50;PC;1
RU1436;RU_ESGOTO;TE PVC SERIE NORMAL 100X100;PC;1
RU1508;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 50MM;MT;8,89
RU1509;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 75MM;MT;7,39
RU1510;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 100MM;MT;74,99
RU1511;RU_ESGOTO_REFOCADO;TUBO PVC SERIE REFOCADA 150MM;MT;127,99
RU1518;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 50MM;PC;1
RU1519;RU_ESGOTO_REFOCADO;JOELHO 45 PVC SERIE REFOCADA 75MM;PC;4
