Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TUBO PVC SERIE NORMAL 40MM; ; MT; 5.02; 1; RU1393; RU1393
 ; TUBO PVC SERIE NORMAL 50MM; ; MT; 28.17; 1; RU1394; RU1394
 ; TUBO PVC SERIE NORMAL 75MM; ; MT; 2.31; 1; RU1395; RU1395
 ; TUBO PVC SERIE NORMAL 100MM; ; MT; 206.17; 1; RU1396; RU1396
 ; JOELHO 45 PVC SERIE NORMAL 40MM; ; PC; 5.00; 1; RU1404; RU1404
 ; JOELHO 45 PVC SERIE NORMAL 50MM; ; PC; 5.00; 1; RU1405; RU1405
 ; JOELHO 45 PVC SERIE NORMAL 100MM; ; PC; 23.00; 1; RU1407; RU1407
 ; JOELHO 90 PVC SERIE NORMAL 40MM; ; PC; 4.00; 1; RU1408; RU1408
 ; JOELHO 90 PVC SERIE NORMAL 50MM; ; PC; 13.00; 1; RU1409; RU1409
 ; JOELHO 90 PVC SERIE NORMAL 100MM; ; PC; 12.00; 1; RU1411; RU1411
 ; JUNCAO SIMPLES PVC SERIE NORMAL 40; ; PC; 1.00; 1; RU1414; RU1414
 ; JUNCAO SIMPLES PVC SERIE NORMAL 100X50; ; PC; 2.00; 1; RU1418; RU1418
 ; JUNCAO SIMPLES PVC SERIE NORMAL 100X100; ; PC; 2.00; 1; RU1420; RU1420
 ; TE PVC SERIE NORMAL 50X50; ; PC; 6.00; 1; RU1431; RU1431
 ; TE PVC SERIE NORMAL 100X50; ; PC; 1.00; 1; RU1434; RU1434
 ; TE PVC SERIE NORMAL 100X100; ; PC; 1.00; 1; RU1436; RU1436
 ; TUBO PVC SERIE REFOCADA 50MM; ; MT; 8.89; 1; RU1508; RU1508
 ; TUBO PVC SERIE REFOCADA 75MM; ; MT; 7.39; 1; RU1509; RU1509
 ; TUBO PVC SERIE REFOCADA 100MM; ; MT; 74.99; 1; RU1510; RU1510
 ; TUBO PVC SERIE REFOCADA 150MM; ; MT; 127.99; 1; RU1511; RU1511
 ; JOELHO 45 PVC SERIE REFOCADA 50MM; ; PC; 1.00; 1; RU1518; RU1518
 ; JOELHO 45 PVC SERIE REFOCADA 75MM; ; PC; 4.00; 1; RU1519; RU1519
 ; JOELHO 45 PVC SERIE REFOCADA 100MM; ; PC; 42.00; 1; RU1520; RU1520
 ; JOELHO 45 PVC SERIE REFOCADA 150MM; ; PC; 66.00; 1; RU1521; RU1521
 ; JOELHO 90 PVC SERIE REFOCADA 100MM; ; PC; 4.00; 1; RU1525; RU1525
 ; CAIXA SIFONADA 100X100X50MM; ; PC; 4.00; 1; RU1554; RU1554
 ; CAIXA SIFONADA 100X150X50MM; ; PC; 7.00; 1; RU1555; RU1555
 ; CAIXA SIFONADA 150X185X75MM; ; PC; 1.00; 1; RU1557; RU1557
 ; REDUCAO EXCENTRICA PVC SERIE NORMAL 75X50MM; ; PC; 8.00; 1; RU1561; RU1561
 ; REDUCAO EXCENTRICA PVC SERIE NORMAL 100X75MM; ; PC; 9.00; 1; RU1562; RU1562
 ; TUBO CORRUGADO PERFURADO 80MM - DRENO; ; MT; 31.16; 1; RU1569; RU1569
 ; TUBO CORRUGADO PERFURADO 100MM - DRENO; ; MT; 11.30; 1; RU1570; RU1570
 ; TAMPAO DE TUBO CORRUGADO 100MM - DRENO; ; PC; 3.00; 1; RU1585; RU1585
 ; REDUCAO DE TUBO CURRUGADO 170X100X65MM; ; PC; 12.00; 1; RU1589; RU1589
 ; CONEXAO "Y" DE TUBO CORRUGADO 100X100MM; ; PC; 12.00; 1; RU1599; RU1599
 ; TUBO COLETO DE ESGOTO LISO JEI  200MM; ; MT; 130.02; 1; RU1605; RU1605
 ; TUBO COLETO DE ESGOTO LISO JEI  250MM; ; MT; 10.86; 1; RU1606; RU1606
 ; TUBO COLETO DE ESGOTO LISO JEI  300MM; ; MT; 24.56; 1; RU1607; RU1607
 ; CURVA 45 COLETOR DE ESGOTO JE 300MM; ; PC; 3.00; 1; RU1623; RU1623
 ; CAIXA POLAR; ; PC; 1.00; 1; RU1652; RU1652
 ; KIT BOMBA SUBMERSÍVEL 1,0/2,0 CV ; ; VB; 2.00; 1; RU1653; RU1653
 ; VALVULA DE ADMISSAO DE AR 50MM; ; PC; 4.00; 1; RU1654; RU1654
 ; CAIXA SIFONADA 100X100X40MM; ; PC; 2.00; 1; RU1655; RU1655
